,num_pit_samples,take_num_samples_when_full,normal_backtransform,trainable_bandwidths,model_id,task_type,num_classes,dataset,error,number_features,instances
67,150,5,False,False,model 1,regression,-1,cal_house,0.9051546404884461,8,20640
68,150,10,True,True,model 1,regression,-1,cal_house,0.9032250311689165,8,20640
69,150,10,True,False,model 1,regression,-1,cal_house,0.890651286551458,8,20640
70,150,10,False,True,model 1,regression,-1,cal_house,0.897987750732721,8,20640
71,150,10,False,False,model 1,regression,-1,cal_house,0.7521422673826482,8,20640
72,250,0,True,True,model 1,regression,-1,cal_house,0.9076175971621081,8,20640
73,250,0,True,False,model 1,regression,-1,cal_house,0.971928325574263,8,20640
74,250,0,False,True,model 1,regression,-1,cal_house,0.9245600902830453,8,20640
75,250,0,False,False,model 1,regression,-1,cal_house,0.9295130345171443,8,20640
76,250,1,True,True,model 1,regression,-1,cal_house,0.9462238875101978,8,20640
77,250,1,True,False,model 1,regression,-1,cal_house,0.9418416979041031,8,20640
78,250,1,False,True,model 1,regression,-1,cal_house,0.9321542394332818,8,20640
79,250,1,False,False,model 1,regression,-1,cal_house,0.9241438740424791,8,20640
80,250,2,True,True,model 1,regression,-1,cal_house,0.9127621573970873,8,20640
81,250,2,True,False,model 1,regression,-1,cal_house,0.9634184375206808,8,20640
82,250,2,False,True,model 1,regression,-1,cal_house,0.9130980099712092,8,20640
83,250,2,False,False,model 1,regression,-1,cal_house,0.9310348151052972,8,20640
84,250,3,True,True,model 1,regression,-1,cal_house,0.9524455987490834,8,20640
85,250,3,True,False,model 1,regression,-1,cal_house,0.9430079481128788,8,20640
86,250,3,False,True,model 1,regression,-1,cal_house,0.9156880425118585,8,20640
87,250,3,False,False,model 1,regression,-1,cal_house,0.9140971647524766,8,20640
88,250,5,True,True,model 1,regression,-1,cal_house,0.9310544341745689,8,20640
89,250,5,True,False,model 1,regression,-1,cal_house,0.942084844080144,8,20640
90,250,5,False,True,model 1,regression,-1,cal_house,0.9404747866611904,8,20640
91,250,5,False,False,model 1,regression,-1,cal_house,0.8520391069940969,8,20640
92,250,10,True,True,model 1,regression,-1,cal_house,0.9448889276875796,8,20640
93,250,10,True,False,model 1,regression,-1,cal_house,0.9335729697572545,8,20640
94,250,10,False,True,model 1,regression,-1,cal_house,0.8978226754989158,8,20640
95,250,10,False,False,model 1,regression,-1,cal_house,0.9269441367386297,8,20640
96,500,0,True,True,model 1,regression,-1,cal_house,0.9430419883499652,8,20640
97,500,0,True,False,model 1,regression,-1,cal_house,0.946481218114283,8,20640
98,500,0,False,True,model 1,regression,-1,cal_house,0.9425539372947028,8,20640
99,500,0,False,False,model 1,regression,-1,cal_house,0.9541837823396175,8,20640
100,500,1,True,True,model 1,regression,-1,cal_house,0.9702015532910446,8,20640
101,500,1,True,False,model 1,regression,-1,cal_house,0.9406880588982118,8,20640
102,500,1,False,True,model 1,regression,-1,cal_house,0.9444241382604038,8,20640
103,500,1,False,False,model 1,regression,-1,cal_house,0.9063392994603591,8,20640
104,500,2,True,True,model 1,regression,-1,cal_house,0.9428337336516154,8,20640
105,500,2,True,False,model 1,regression,-1,cal_house,0.9322414492318283,8,20640
106,500,2,False,True,model 1,regression,-1,cal_house,0.9426758527551665,8,20640
107,500,2,False,False,model 1,regression,-1,cal_house,0.930504924977789,8,20640
108,500,3,True,True,model 1,regression,-1,cal_house,0.9220121752949948,8,20640
109,500,3,True,False,model 1,regression,-1,cal_house,0.9602721465908512,8,20640
110,500,3,False,True,model 1,regression,-1,cal_house,0.8961725656556374,8,20640
111,500,3,False,False,model 1,regression,-1,cal_house,0.9194973792587325,8,20640
112,500,5,True,True,model 1,regression,-1,cal_house,0.9263963450120887,8,20640
113,500,5,True,False,model 1,regression,-1,cal_house,0.9681431975233632,8,20640
114,500,5,False,True,model 1,regression,-1,cal_house,0.921576233350091,8,20640
115,500,5,False,False,model 1,regression,-1,cal_house,0.9430051143296043,8,20640
116,500,10,True,True,model 1,regression,-1,cal_house,0.9390945793613041,8,20640
117,500,10,True,False,model 1,regression,-1,cal_house,0.957708189342505,8,20640
118,500,10,False,True,model 1,regression,-1,cal_house,0.9322948687708763,8,20640
119,500,10,False,False,model 1,regression,-1,cal_house,0.942333525808585,8,20640
120,1000,0,True,True,model 1,regression,-1,cal_house,0.9282734585702347,8,20640
121,1000,0,True,False,model 1,regression,-1,cal_house,0.9880663863083923,8,20640
122,1000,0,False,True,model 1,regression,-1,cal_house,0.9763895751426619,8,20640
123,1000,0,False,False,model 1,regression,-1,cal_house,0.9780046215900913,8,20640
124,1000,1,True,True,model 1,regression,-1,cal_house,0.9758873725497221,8,20640
125,1000,1,True,False,model 1,regression,-1,cal_house,0.9634868499876006,8,20640
126,1000,1,False,True,model 1,regression,-1,cal_house,0.9353619583082788,8,20640
127,1000,1,False,False,model 1,regression,-1,cal_house,0.9688208524112913,8,20640
128,1000,2,True,True,model 1,regression,-1,cal_house,0.9735615332078809,8,20640
129,1000,2,True,False,model 1,regression,-1,cal_house,0.9523955387645995,8,20640
130,1000,2,False,True,model 1,regression,-1,cal_house,0.9580460430023343,8,20640
131,1000,2,False,False,model 1,regression,-1,cal_house,0.9486588070338419,8,20640
132,1000,3,True,True,model 1,regression,-1,cal_house,0.9572275787275344,8,20640
133,1000,3,True,False,model 1,regression,-1,cal_house,0.8810072979559951,8,20640
134,1000,3,False,True,model 1,regression,-1,cal_house,0.8931727540709531,8,20640
135,1000,3,False,False,model 1,regression,-1,cal_house,0.948029432171729,8,20640
136,1000,5,True,True,model 1,regression,-1,cal_house,0.9483893477678165,8,20640
137,1000,5,True,False,model 1,regression,-1,cal_house,0.9742073544117911,8,20640
138,1000,5,False,True,model 1,regression,-1,cal_house,0.9259317109278368,8,20640
139,1000,5,False,False,model 1,regression,-1,cal_house,0.9401876816939758,8,20640
140,1000,10,True,True,model 1,regression,-1,cal_house,0.9316686701955471,8,20640
141,1000,10,True,False,model 1,regression,-1,cal_house,0.9665046031001854,8,20640
142,1000,10,False,True,model 1,regression,-1,cal_house,0.921884156066769,8,20640
143,1000,10,False,False,model 1,regression,-1,cal_house,0.938278261926075,8,20640
144,50,0,True,True,model 2,regression,-1,cal_house,0.9606149686302798,8,20640
145,50,0,True,False,model 2,regression,-1,cal_house,0.9697196495634892,8,20640
146,50,0,False,True,model 2,regression,-1,cal_house,0.9140522910945896,8,20640
147,50,0,False,False,model 2,regression,-1,cal_house,0.9539054773300741,8,20640
148,50,1,True,True,model 2,regression,-1,cal_house,0.8544911811595188,8,20640
149,50,1,True,False,model 2,regression,-1,cal_house,0.8360599480238168,8,20640
150,50,1,False,True,model 2,regression,-1,cal_house,0.8105703555051409,8,20640
151,50,1,False,False,model 2,regression,-1,cal_house,0.9168326720053144,8,20640
152,50,2,True,True,model 2,regression,-1,cal_house,0.5513855303941786,8,20640
153,50,2,True,False,model 2,regression,-1,cal_house,0.809667581967644,8,20640
154,50,2,False,True,model 2,regression,-1,cal_house,0.6909187369373322,8,20640
155,50,2,False,False,model 2,regression,-1,cal_house,0.7663823587724916,8,20640
156,50,3,True,True,model 2,regression,-1,cal_house,0.771453071547862,8,20640
157,50,3,True,False,model 2,regression,-1,cal_house,0.7764634771637466,8,20640
158,50,3,False,True,model 2,regression,-1,cal_house,0.6444364022967748,8,20640
159,50,3,False,False,model 2,regression,-1,cal_house,0.7735754087790117,8,20640
160,50,5,True,True,model 2,regression,-1,cal_house,0.7038558338747074,8,20640
161,50,5,True,False,model 2,regression,-1,cal_house,0.608106823728358,8,20640
162,50,5,False,True,model 2,regression,-1,cal_house,0.694889508769983,8,20640
163,50,5,False,False,model 2,regression,-1,cal_house,0.8162556117409006,8,20640
164,50,10,True,True,model 2,regression,-1,cal_house,0.7820166290249209,8,20640
165,50,10,True,False,model 2,regression,-1,cal_house,0.7953604698972087,8,20640
166,50,10,False,True,model 2,regression,-1,cal_house,0.7023550543347208,8,20640
167,50,10,False,False,model 2,regression,-1,cal_house,0.7123795502498942,8,20640
168,100,0,True,True,model 2,regression,-1,cal_house,0.951637187835136,8,20640
169,100,0,True,False,model 2,regression,-1,cal_house,0.9105538555286559,8,20640
170,100,0,False,True,model 2,regression,-1,cal_house,0.9565206294411364,8,20640
171,100,0,False,False,model 2,regression,-1,cal_house,0.984727016592652,8,20640
172,100,1,True,True,model 2,regression,-1,cal_house,0.9210213540972847,8,20640
173,100,1,True,False,model 2,regression,-1,cal_house,0.8602697296891431,8,20640
174,100,1,False,True,model 2,regression,-1,cal_house,0.8398044797894386,8,20640
175,100,1,False,False,model 2,regression,-1,cal_house,0.9435655105045211,8,20640
176,100,2,True,True,model 2,regression,-1,cal_house,0.946728246315514,8,20640
177,100,2,True,False,model 2,regression,-1,cal_house,0.8599849035541607,8,20640
178,100,2,False,True,model 2,regression,-1,cal_house,0.8348527258894325,8,20640
179,100,2,False,False,model 2,regression,-1,cal_house,0.9463219857732071,8,20640
180,100,3,True,True,model 2,regression,-1,cal_house,0.8419539391029138,8,20640
181,100,3,True,False,model 2,regression,-1,cal_house,0.8739512384680466,8,20640
182,100,3,False,True,model 2,regression,-1,cal_house,0.8481481535778492,8,20640
183,100,3,False,False,model 2,regression,-1,cal_house,0.7306777178361821,8,20640
184,100,5,True,True,model 2,regression,-1,cal_house,0.6596156963666187,8,20640
185,100,5,True,False,model 2,regression,-1,cal_house,0.8525189627244966,8,20640
186,100,5,False,True,model 2,regression,-1,cal_house,0.8535871900860836,8,20640
187,100,5,False,False,model 2,regression,-1,cal_house,0.6322634808181595,8,20640
188,100,10,True,True,model 2,regression,-1,cal_house,0.7384886193443906,8,20640
189,100,10,True,False,model 2,regression,-1,cal_house,0.8915302371832317,8,20640
190,100,10,False,True,model 2,regression,-1,cal_house,0.7475007751930061,8,20640
